Year,State,Commodity,Mode,Shipwt Metric Ton,Shipwt Pound,TradeValue,TradeType,CommodityGroup
2019,Texas-Mexico Trade,Cocoa and Cocoa Preparations,Truck,142013.255,313085890,513983498,Import,16 - 24  Foodstuffs
2023,Texas-Mexico Trade,Aircraft; Spacecraft and Parts,Vessel,86.48,190655.9196,5694354,Import,86 - 89  Transportation
2016,Texas-Mexico Trade,Tanning or Dyeing Extracts,Air,19.297,42542.6364,250795,Export,28 - 38  Chemicals & Allied Industries
2013,Texas-Mexico Trade,Pearls; Stones; Metals and Imitation Jewelry,Air,6.742,14863.5755,7815743,Import,68 - 71  Stone / Glass
2024,Texas-Mexico Trade,Measuring and Testing Instruments,Truck,0,0,6619212952,Export,90 - 97  Miscellaneous
2014,Texas-Mexico Trade,Copper and Articles,Air,0.37,815.7107,118689,Import,72 - 83  Metals
2019,Texas-Mexico Trade,Pharmaceutical Products,Truck,0,0,476517572,Export,28 - 38  Chemicals & Allied Industries
2020,Texas-Mexico Trade,Pulp of Wood and Paperboard,Truck,6557.12,14455986.87,1304382,Import,44 - 49  Wood & Wood Products
2014,Texas-Mexico Trade,Food Residues and Waste,Rail,162.86,359045.133,149038,Import,16 - 24  Foodstuffs
2023,Texas-Mexico Trade,Products of Animal Origin,Vessel,42.247,93138.7676,66887,Import,01 - 05  Animal & Animal Products
2024,Texas-Mexico Trade,Aircraft; Spacecraft and Parts,Truck,0,0,2383479694,Export,86 - 89  Transportation
2014,Texas-Mexico Trade,Products of Animal Origin,Rail,0,0,2666402,Export,01 - 05  Animal & Animal Products
2020,Texas-Mexico Trade,Photographic Goods,Other,0,0,22637,Export,28 - 38  Chemicals & Allied Industries
2022,Texas-Mexico Trade,Products of Animal Origin,Truck,0,0,167043210,Export,01 - 05  Animal & Animal Products
2024,Texas-Mexico Trade,Pearls; Stones; Metals and Imitation Jewelry,Air,18.888,41640.944,83647933,Export,68 - 71  Stone / Glass
2015,Texas-Mexico Trade,Cereals,Truck,0,0,136255199,Export,06 - 15  Vegetable Products
2019,Texas-Mexico Trade,Preparations of Cereals and Flour,Air,0.562,1238.9989,4550,Import,16 - 24  Foodstuffs
2015,Texas-Mexico Trade,Carpets and Other Textile Floor Coverings,Rail,1160.593,2558671.668,6411128,Import,50 - 63  Textiles
2013,Texas-Mexico Trade,Knitted or Crocheted Apparel,Air,10.417,22965.5717,521207,Export,50 - 63  Textiles
2022,Texas-Mexico Trade,Measuring and Testing Instruments,Other,0,0,3979574,Export,90 - 97  Miscellaneous
2021,Texas-Mexico Trade,Aircraft; Spacecraft and Parts,Other,113.161,249477.5037,90657147,Import,86 - 89  Transportation
2023,Texas-Mexico Trade,Printed Books,Truck,45862.308,101109164.2,331321457,Import,44 - 49  Wood & Wood Products
2022,Texas-Mexico Trade,Tobacco and Manufactured Tobacco,Truck,53.317,117543.9593,2428287,Import,16 - 24  Foodstuffs
2015,Texas-Mexico Trade,Tools of Base Metal,Rail,3029.731,6679418.948,8541904,Import,72 - 83  Metals
2020,Texas-Mexico Trade,Toys; Games and Sport Equipment,Truck,0,0,512517246,Export,90 - 97  Miscellaneous
2021,Texas-Mexico Trade,Salt; Sulfur; Plaster and Cement,Rail,758576.355,1672375957,84764546,Import,25 - 27  Mineral Products
2017,Texas-Mexico Trade,Locomotives and Traffic Signals,Other,0,0,39782,Export,86 - 89  Transportation
2022,Texas-Mexico Trade,Miscellaneous Articles of Base Metals,Air,686.473,1513415.137,6030121,Export,72 - 83  Metals
2018,Texas-Mexico Trade,Fish and Crustaceans,Truck,0,0,9183193,Export,01 - 05  Animal & Animal Products
2022,Texas-Mexico Trade,Special Classification Provisions,Truck,0,0,147198554,Export,98 - 99  Service
2013,Texas-Mexico Trade,Miscellaneous Chemical Products,Truck,0,0,1844374004,Export,28 - 38  Chemicals & Allied Industries
2016,Texas-Mexico Trade,Copper and Articles,Rail,0,0,633782,Export,72 - 83  Metals
2022,Texas-Mexico Trade,Footwear,Rail,107.051,236007.2482,1437238,Import,64 - 67  Footwear / Headgear
2023,Texas-Mexico Trade,Tanning or Dyeing Extracts,Other,0,0,1638037,Export,28 - 38  Chemicals & Allied Industries
2023,Texas-Mexico Trade,Wood and Articles,Vessel,1182.781,2607587.876,878847,Import,44 - 49  Wood & Wood Products
2017,Texas-Mexico Trade,Soap and Organic Surface-Active Agents,Other,0,0,784099,Export,28 - 38  Chemicals & Allied Industries
2015,Texas-Mexico Trade,Albuminoidal Substances; Glues and Enzymes,Truck,0,0,411631574,Export,28 - 38  Chemicals & Allied Industries
2018,Texas-Mexico Trade,Explosives,Truck,0,0,111192799,Export,28 - 38  Chemicals & Allied Industries
2021,Texas-Mexico Trade,Ships and Boats,Truck,0,0,26511473,Export,86 - 89  Transportation
2014,Texas-Mexico Trade,Albuminoidal Substances; Glues and Enzymes,Vessel,20.358,44881.7438,24002,Export,28 - 38  Chemicals & Allied Industries
2020,Texas-Mexico Trade,Albuminoidal Substances; Glues and Enzymes,Rail,0,0,10527771,Export,28 - 38  Chemicals & Allied Industries
2018,Texas-Mexico Trade,Edible Vegetables and Roots,Air,17.525,38636.0428,32796,Export,06 - 15  Vegetable Products
2023,Texas-Mexico Trade,Dairy Products,Vessel,19.468,42919.6282,79980,Export,01 - 05  Animal & Animal Products
2016,Texas-Mexico Trade,Soap and Organic Surface-Active Agents,Truck,0,0,538872481,Export,28 - 38  Chemicals & Allied Industries
2023,Texas-Mexico Trade,Sugars and Sugar Confectionery,Rail,37190.329,81990707.51,44734004,Import,16 - 24  Foodstuffs
2013,Texas-Mexico Trade,Rubber and Articles,Truck,0,0,2426699896,Export,39 - 40  Plastics / Rubbers
2023,Texas-Mexico Trade,Salt; Sulfur; Plaster and Cement,Vessel,56175.535,123845956.3,2595556,Import,25 - 27  Mineral Products
2021,Texas-Mexico Trade,Other Base Metals and Cermets,Vessel,5.406,11918.1994,1285597,Import,72 - 83  Metals
2021,Texas-Mexico Trade,Electrical Machinery; Equipment and Parts,Vessel,262.799,579373.0912,6836211,Export,84 - 85  Machinery / Electrical
2021,Texas-Mexico Trade,Live Animals,Rail,0,0,3035179,Export,01 - 05  Animal & Animal Products
2024,Texas-Mexico Trade,Wool and Animal Hair,Truck,0,0,7672687,Export,50 - 63  Textiles
2013,Texas-Mexico Trade,Footwear,Other,0,0,7984774,Export,64 - 67  Footwear / Headgear
2023,Texas-Mexico Trade,Special Woven Fabrics,Rail,0,0,14444,Export,50 - 63  Textiles
2014,Texas-Mexico Trade,Oil Seeds and Oleaginous Fruits,Truck,12741.054,28089238.78,21493012,Import,06 - 15  Vegetable Products
2020,Texas-Mexico Trade,Vehicles Other than Railway,Other,17.8,39242.3138,180141,Import,86 - 89  Transportation
2022,Texas-Mexico Trade,Articles of Leather and Handbags,Rail,0,0,112119,Export,"41 - 43  Raw Hides, Skins, Leather, & Furs"
2021,Texas-Mexico Trade,Arms and Ammunition and Parts,Air,96.55,212856.487,9155757,Export,90 - 97  Miscellaneous
2022,Texas-Mexico Trade,Paper and Paperboard,Vessel,5740.457,12655551.68,3634681,Import,44 - 49  Wood & Wood Products
2024,Texas-Mexico Trade,Plastics and Articles,Air,130.059,286731.2413,3751003,Import,39 - 40  Plastics / Rubbers
2016,Texas-Mexico Trade,Footwear,Truck,13795.909,30414797.87,319313570,Import,64 - 67  Footwear / Headgear
2021,Texas-Mexico Trade,Lead and Articles,Rail,0,0,4985,Export,72 - 83  Metals
2023,Texas-Mexico Trade,Soap and Organic Surface-Active Agents,Truck,583640.19,1286707415,848973074,Import,28 - 38  Chemicals & Allied Industries
2023,Texas-Mexico Trade,Cocoa and Cocoa Preparations,Truck,0,0,298938483,Export,16 - 24  Foodstuffs
2014,Texas-Mexico Trade,Toys; Games and Sport Equipment,Rail,0,0,1166109,Export,90 - 97  Miscellaneous
2021,Texas-Mexico Trade,Measuring and Testing Instruments,Vessel,2.716,5987.759,1587982,Export,90 - 97  Miscellaneous
2017,Texas-Mexico Trade,Stone; Plaster; Cement and Asbestos,Truck,554723.898,1222957852,449850466,Import,68 - 71  Stone / Glass
2017,Texas-Mexico Trade,Footwear,Vessel,56.586,124750.8772,4198466,Export,64 - 67  Footwear / Headgear
2024,Texas-Mexico Trade,Nickel and Articles,Vessel,0.093,205.03,26593,Import,72 - 83  Metals
2024,Texas-Mexico Trade,Tanning or Dyeing Extracts,Air,0.231,509.2682,184102,Import,28 - 38  Chemicals & Allied Industries
2024,Texas-Mexico Trade,Vehicles Other than Railway,Vessel,116448.664,256725568.3,1544576511,Import,86 - 89  Transportation
2024,Texas-Mexico Trade,Meat and Edible Offal,Air,3.532,7786.7334,8447,Export,01 - 05  Animal & Animal Products
2014,Texas-Mexico Trade,Pharmaceutical Products,Air,7.984,17601.7208,484358,Import,28 - 38  Chemicals & Allied Industries
2015,Texas-Mexico Trade,Preparations of Cereals and Flour,Other,0,0,565825,Export,16 - 24  Foodstuffs
2015,Texas-Mexico Trade,Other Made up Textile Articles,Rail,20.599,45413.0581,168477,Import,50 - 63  Textiles
2019,Texas-Mexico Trade,Measuring and Testing Instruments,Other,5.086,11212.7193,540681,Import,90 - 97  Miscellaneous
2017,Texas-Mexico Trade,Knitted or Crocheted Apparel,Other,0,0,15140,Export,50 - 63  Textiles
2018,Texas-Mexico Trade,Printed Books,Truck,0,0,233454120,Export,44 - 49  Wood & Wood Products
2020,Texas-Mexico Trade,Fish and Crustaceans,Other,0,0,108536,Export,01 - 05  Animal & Animal Products
2024,Texas-Mexico Trade,Miscellaneous Manufactured Articles,Air,2.188,4823.717,325327,Export,90 - 97  Miscellaneous
2020,Texas-Mexico Trade,Paper and Paperboard,Truck,496035.416,1093571791,946387183,Import,44 - 49  Wood & Wood Products
2019,Texas-Mexico Trade,Special Classification Provisions,Air,672.526,1482667.237,167122767,Import,98 - 99  Service
2015,Texas-Mexico Trade,Articles of Iron and Steel,Air,45.017,99245.5749,1178838,Import,72 - 83  Metals
2015,Texas-Mexico Trade,Coffee; Tea and Spices,Air,1.014,2235.4891,3456,Export,06 - 15  Vegetable Products
2023,Texas-Mexico Trade,Nickel and Articles,Air,15.068,33219.28,198313,Export,72 - 83  Metals
2019,Texas-Mexico Trade,Printed Books,Truck,0,0,230363284,Export,44 - 49  Wood & Wood Products
2018,Texas-Mexico Trade,Glass,Vessel,2869.898,6327047.213,1624036,Export,68 - 71  Stone / Glass
2016,Texas-Mexico Trade,Miscellaneous Articles of Base Metals,Rail,9326.141,20560638.19,44423698,Import,72 - 83  Metals
2013,Texas-Mexico Trade,Edible Fruit and Nuts,Vessel,9972.683,21986020.48,3420012,Import,06 - 15  Vegetable Products
2020,Texas-Mexico Trade,Knitted or Crocheted Apparel,Vessel,33.384,73599.1814,356636,Import,50 - 63  Textiles
2018,Texas-Mexico Trade,Measuring and Testing Instruments,Other,5.253,11580.8914,196673,Import,90 - 97  Miscellaneous
2016,Texas-Mexico Trade,Stone; Plaster; Cement and Asbestos,Truck,506313.837,1116231849,442435803,Import,68 - 71  Stone / Glass
2015,Texas-Mexico Trade,Toys; Games and Sport Equipment,Air,32.741,72181.6076,531216,Import,90 - 97  Miscellaneous
2024,Texas-Mexico Trade,Special Classification Provisions,Air,0.011,24.2508,6592,Export,98 - 99  Service
2016,Texas-Mexico Trade,Live Animals,Truck,46961.157,103531713.5,127570512,Import,01 - 05  Animal & Animal Products
2023,Texas-Mexico Trade,Wadding; Felt and Nonwovens,Truck,38582.089,85059015.58,187197601,Import,50 - 63  Textiles
2020,Texas-Mexico Trade,Beverages; Spirits and Vinegar,Rail,0,0,92805077,Export,16 - 24  Foodstuffs
2021,Texas-Mexico Trade,Knitted or Crocheted Apparel,Foreign Trade Zones,114.05,251437.4144,3688575,Import,50 - 63  Textiles
2018,Texas-Mexico Trade,Wood and Articles,Rail,3243.31,7150280.427,2761354,Import,44 - 49  Wood & Wood Products
2015,Texas-Mexico Trade,Miscellaneous Chemical Products,Truck,184981.974,407815777.2,370128051,Import,28 - 38  Chemicals & Allied Industries
2023,Texas-Mexico Trade,Rubber and Articles,Air,76.731,169163.0336,1604907,Export,39 - 40  Plastics / Rubbers
2018,Texas-Mexico Trade,Musical Instruments and Parts,Rail,0,0,7090,Export,90 - 97  Miscellaneous
2015,Texas-Mexico Trade,Wood and Articles,Rail,0,0,77770795,Export,44 - 49  Wood & Wood Products
2024,Texas-Mexico Trade,Plastics and Articles,Foreign Trade Zones,8625.118,19015145.77,9285282,Import,39 - 40  Plastics / Rubbers
2018,Texas-Mexico Trade,Measuring and Testing Instruments,Vessel,30.117,66396.6728,4224272,Export,90 - 97  Miscellaneous
2023,Texas-Mexico Trade,Inorganic Chemicals,Truck,0,0,1094454461,Export,28 - 38  Chemicals & Allied Industries
2019,Texas-Mexico Trade,Cereals,Rail,0,0,2318070582,Export,06 - 15  Vegetable Products
2021,Texas-Mexico Trade,Clocks; Watches and Parts,Air,123.201,271611.9323,19102538,Export,90 - 97  Miscellaneous
2020,Texas-Mexico Trade,Knitted or Crocheted Apparel,Other,0,0,32480,Export,50 - 63  Textiles
2014,Texas-Mexico Trade,Miscellaneous Chemical Products,Rail,0,0,472116804,Export,28 - 38  Chemicals & Allied Industries
2013,Texas-Mexico Trade,Preparations of Vegetables; Fruits and Nuts,Rail,861.888,1900139.332,1187772,Import,16 - 24  Foodstuffs
2013,Texas-Mexico Trade,Edible Fruit and Nuts,Other,0,0,42725,Export,06 - 15  Vegetable Products
2019,Texas-Mexico Trade,Carpets and Other Textile Floor Coverings,Truck,11448.07,25238694.68,63331656,Import,50 - 63  Textiles
2014,Texas-Mexico Trade,Pulp of Wood and Paperboard,Rail,0,0,479475049,Export,44 - 49  Wood & Wood Products
2019,Texas-Mexico Trade,Nickel and Articles,Truck,4382.602,9661991.391,99734825,Import,72 - 83  Metals
2022,Texas-Mexico Trade,Other Made up Textile Articles,Rail,478.807,1055589.603,4375839,Import,50 - 63  Textiles
2022,Texas-Mexico Trade,Organic Chemicals,Rail,0,0,1001141613,Export,28 - 38  Chemicals & Allied Industries
2019,Texas-Mexico Trade,Animal or Vegetable Fats and Oils,Other,0,0,149973,Export,06 - 15  Vegetable Products
2023,Texas-Mexico Trade,Essential Oils and Resinoids,Vessel,54.747,120696.5729,361888,Export,28 - 38  Chemicals & Allied Industries
2013,Texas-Mexico Trade,Fertilizers,Truck,0,0,22161063,Export,28 - 38  Chemicals & Allied Industries
2021,Texas-Mexico Trade,Albuminoidal Substances; Glues and Enzymes,Air,4.298,9475.4748,211336,Export,28 - 38  Chemicals & Allied Industries
2024,Texas-Mexico Trade,Not Knitted or Crocheted Apparel,Truck,72411.779,159640776.3,1466379046,Import,50 - 63  Textiles
2014,Texas-Mexico Trade,Headgear,Air,0.092,202.8253,2180,Import,64 - 67  Footwear / Headgear
2018,Texas-Mexico Trade,Malts; Starches and Inulin,Truck,0,0,97782061,Export,06 - 15  Vegetable Products
2015,Texas-Mexico Trade,Aircraft; Spacecraft and Parts,Truck,2009.815,4430887.225,389524494,Import,86 - 89  Transportation
2015,Texas-Mexico Trade,Pharmaceutical Products,Vessel,11.876,26182.1195,339823,Export,28 - 38  Chemicals & Allied Industries
2023,Texas-Mexico Trade,Electrical Machinery; Equipment and Parts,Truck,3222443.771,7104278230,57849236793,Import,84 - 85  Machinery / Electrical
2018,Texas-Mexico Trade,Plastics and Articles,Foreign Trade Zones,41.47,91425.7744,246830,Import,39 - 40  Plastics / Rubbers
2020,Texas-Mexico Trade,Animal or Vegetable Fats and Oils,Vessel,17770.682,39177679.5,13911204,Export,06 - 15  Vegetable Products
2014,Texas-Mexico Trade,Articles of Iron and Steel,Truck,0,0,3814786406,Export,72 - 83  Metals
2014,Texas-Mexico Trade,Miscellaneous Edible Preparations,Rail,0,0,65653027,Export,16 - 24  Foodstuffs
2024,Texas-Mexico Trade,Paper and Paperboard,Truck,0,0,2398319177,Export,44 - 49  Wood & Wood Products
2021,Texas-Mexico Trade,Cocoa and Cocoa Preparations,Truck,139296.533,307096538.3,461924408,Import,16 - 24  Foodstuffs
2022,Texas-Mexico Trade,Salt; Sulfur; Plaster and Cement,Vessel,1081260.485,2383773270,8363318,Import,25 - 27  Mineral Products
2013,Texas-Mexico Trade,Live Animals,Truck,0,0,115627450,Export,01 - 05  Animal & Animal Products
2017,Texas-Mexico Trade,Paper and Paperboard,Vessel,17.763,39160.7432,49530,Export,44 - 49  Wood & Wood Products
2020,Texas-Mexico Trade,Aluminum and Articles,Truck,0,0,2075084627,Export,72 - 83  Metals
2016,Texas-Mexico Trade,Albuminoidal Substances; Glues and Enzymes,Vessel,0.298,656.978,5544,Export,28 - 38  Chemicals & Allied Industries
2016,Texas-Mexico Trade,Knitted or Crocheted Apparel,Truck,35183.409,77566202.66,550509697,Import,50 - 63  Textiles
2023,Texas-Mexico Trade,Carpets and Other Textile Floor Coverings,Other,0,0,7200,Export,50 - 63  Textiles
2022,Texas-Mexico Trade,Impregnated Fabrics,Rail,327.081,721090.7592,3209722,Import,50 - 63  Textiles
2019,Texas-Mexico Trade,Impregnated Fabrics,Vessel,200.146,441246.7581,2120419,Export,50 - 63  Textiles
2018,Texas-Mexico Trade,Not Knitted or Crocheted Apparel,Truck,0,0,250732025,Export,50 - 63  Textiles
2023,Texas-Mexico Trade,Ceramic Products,Air,0.674,1485.9167,35876,Import,68 - 71  Stone / Glass
2023,Texas-Mexico Trade,Wool and Animal Hair,Rail,9.465,20866.77,234138,Import,50 - 63  Textiles
2023,Texas-Mexico Trade,Other Made up Textile Articles,Air,1.205,2656.5719,115957,Import,50 - 63  Textiles
2015,Texas-Mexico Trade,Salt; Sulfur; Plaster and Cement,Rail,0,0,86135611,Export,25 - 27  Mineral Products
2021,Texas-Mexico Trade,Oil Seeds and Oleaginous Fruits,Truck,0,0,198031434,Export,06 - 15  Vegetable Products
2024,Texas-Mexico Trade,Special Woven Fabrics,Truck,3685.864,8125945.778,37972022,Import,50 - 63  Textiles
2015,Texas-Mexico Trade,Wadding; Felt and Nonwovens,Vessel,581.216,1281362.986,2113765,Import,50 - 63  Textiles
2024,Texas-Mexico Trade,Rubber and Articles,Air,74.259,163713.2007,967311,Import,39 - 40  Plastics / Rubbers
2014,Texas-Mexico Trade,Umbrellas and Walking Sticks,Truck,292.669,645225.2224,3350751,Import,64 - 67  Footwear / Headgear
2017,Texas-Mexico Trade,Albuminoidal Substances; Glues and Enzymes,Truck,0,0,438986286,Export,28 - 38  Chemicals & Allied Industries
2023,Texas-Mexico Trade,Vehicles Other than Railway,Vessel,262.478,578665.4081,2116995,Export,86 - 89  Transportation
2023,Texas-Mexico Trade,Aluminum and Articles,Air,18.42,40609.1796,862929,Export,72 - 83  Metals
2016,Texas-Mexico Trade,Other Base Metals and Cermets,Other,0,0,8901,Export,72 - 83  Metals
2022,Texas-Mexico Trade,Silk,Truck,29.366,64741,1922776,Import,50 - 63  Textiles
2017,Texas-Mexico Trade,Preparations of Cereals and Flour,Truck,0,0,276512208,Export,16 - 24  Foodstuffs
2016,Texas-Mexico Trade,Coffee; Tea and Spices,Air,5.552,12240.0747,30107,Import,06 - 15  Vegetable Products
2018,Texas-Mexico Trade,Toys; Games and Sport Equipment,Air,0.22,485.0173,6205,Import,90 - 97  Miscellaneous
2015,Texas-Mexico Trade,Stone; Plaster; Cement and Asbestos,Truck,0,0,251320291,Export,68 - 71  Stone / Glass
2016,Texas-Mexico Trade,Tobacco and Manufactured Tobacco,Vessel,13.992,30847.1048,222390,Import,16 - 24  Foodstuffs
2023,Texas-Mexico Trade,Malts; Starches and Inulin,Truck,68011.56,149939946,74830477,Import,06 - 15  Vegetable Products
2024,Texas-Mexico Trade,Live Trees and Plants,Air,1.007,2220.0567,21442,Import,06 - 15  Vegetable Products
2020,Texas-Mexico Trade,Products of Animal Origin,Truck,0,0,150585093,Export,01 - 05  Animal & Animal Products
2023,Texas-Mexico Trade,Knitted or Crocheted Fabrics,Truck,0,0,210874121,Export,50 - 63  Textiles
2016,Texas-Mexico Trade,Products of Animal Origin,Rail,0,0,674534,Export,01 - 05  Animal & Animal Products
2020,Texas-Mexico Trade,Furniture; Lamps and Prefabricated Buildings,Rail,0,0,7790849,Export,90 - 97  Miscellaneous
2021,Texas-Mexico Trade,Products of Animal Origin,Vessel,18.91,41689.4477,37971,Import,01 - 05  Animal & Animal Products
2018,Texas-Mexico Trade,Ores; Slag and Ash,Vessel,184507.981,406770800.6,21420419,Import,25 - 27  Mineral Products
2013,Texas-Mexico Trade,Copper and Articles,Vessel,26.879,59258.0996,316970,Export,72 - 83  Metals
2022,Texas-Mexico Trade,Food Residues and Waste,Rail,1079.276,2379398.225,1605040,Import,16 - 24  Foodstuffs
2023,Texas-Mexico Trade,Pharmaceutical Products,Truck,165956.866,365872559.5,633407922,Import,28 - 38  Chemicals & Allied Industries
2021,Texas-Mexico Trade,Plastics and Articles,Rail,533401.352,1175949646,786440866,Import,39 - 40  Plastics / Rubbers
2024,Texas-Mexico Trade,Articles of Iron and Steel,Air,40.541,89377.6762,1699079,Import,72 - 83  Metals
2024,Texas-Mexico Trade,Cocoa and Cocoa Preparations,Truck,0,0,375764950,Export,16 - 24  Foodstuffs
2017,Texas-Mexico Trade,Tanning or Dyeing Extracts,Other,0,0,1096475,Export,28 - 38  Chemicals & Allied Industries
2016,Texas-Mexico Trade,Zinc and Articles,Truck,0,0,95512093,Export,72 - 83  Metals
2018,Texas-Mexico Trade,Soap and Organic Surface-Active Agents,Air,2.249,4958.2,72488,Export,28 - 38  Chemicals & Allied Industries
2013,Texas-Mexico Trade,Musical Instruments and Parts,Rail,0,0,6270,Export,90 - 97  Miscellaneous
2024,Texas-Mexico Trade,Cotton,Truck,0,0,418528904,Export,50 - 63  Textiles
2018,Texas-Mexico Trade,Preparations of Vegetables; Fruits and Nuts,Rail,1524.985,3362019.17,1860248,Import,16 - 24  Foodstuffs
2014,Texas-Mexico Trade,Computer-Related Machinery and Parts,Truck,3052046.33,6728615871,28136360121,Import,84 - 85  Machinery / Electrical
2023,Texas-Mexico Trade,Headgear,Truck,0,0,62586412,Export,64 - 67  Footwear / Headgear
2022,Texas-Mexico Trade,Computer-Related Machinery and Parts,Rail,708414.424,1561787739,5268412241,Import,84 - 85  Machinery / Electrical
2017,Texas-Mexico Trade,Furniture; Lamps and Prefabricated Buildings,Other,0,0,2695027,Export,90 - 97  Miscellaneous
2015,Texas-Mexico Trade,Computer-Related Machinery and Parts,Vessel,15871.808,34991375.51,331024091,Export,84 - 85  Machinery / Electrical
2021,Texas-Mexico Trade,Miscellaneous Manufactured Articles,Vessel,1.676,3694.9503,65454,Export,90 - 97  Miscellaneous
2021,Texas-Mexico Trade,Copper and Articles,Air,0.21,462.9709,20803,Import,72 - 83  Metals
2022,Texas-Mexico Trade,Paper and Paperboard,Foreign Trade Zones,20.365,44897.1762,11606,Import,44 - 49  Wood & Wood Products
2017,Texas-Mexico Trade,Pulp of Wood and Paperboard,Vessel,241.386,532165.4702,37544,Export,44 - 49  Wood & Wood Products
2020,Texas-Mexico Trade,Ships and Boats,Truck,0,0,26033728,Export,86 - 89  Transportation
2023,Texas-Mexico Trade,Special Classification Provisions,Truck,0,0,196274017,Export,98 - 99  Service
2018,Texas-Mexico Trade,Mineral Fuels; Oils and Waxes,Vessel,25902056.75,57104306835,10996436823,Import,25 - 27  Mineral Products
2022,Texas-Mexico Trade,Aircraft; Spacecraft and Parts,Air,299.182,659583.9385,268674744,Export,86 - 89  Transportation
2019,Texas-Mexico Trade,Plastics and Articles,Other,0,0,9593688,Export,39 - 40  Plastics / Rubbers
2024,Texas-Mexico Trade,Preparations of Fish and Meat,Vessel,21.598,47615.4781,88632,Import,16 - 24  Foodstuffs
2015,Texas-Mexico Trade,Wool and Animal Hair,Air,0.026,57.3202,2987,Export,50 - 63  Textiles
2020,Texas-Mexico Trade,Preparations of Cereals and Flour,Other,0,0,269507,Export,16 - 24  Foodstuffs
2015,Texas-Mexico Trade,Knitted or Crocheted Apparel,Air,16.826,37095.0097,772861,Import,50 - 63  Textiles
2017,Texas-Mexico Trade,Rubber and Articles,Vessel,61.569,135736.5202,1110683,Export,39 - 40  Plastics / Rubbers
2020,Texas-Mexico Trade,Footwear,Vessel,18.635,41083.176,37107,Import,64 - 67  Footwear / Headgear
2020,Texas-Mexico Trade,Other Made up Textile Articles,Truck,85999.923,189597530.4,692201655,Import,50 - 63  Textiles
2024,Texas-Mexico Trade,Cereals,Rail,0,0,3794907969,Export,06 - 15  Vegetable Products
2016,Texas-Mexico Trade,Organic Chemicals,Vessel,183167.809,403816224.7,152781779,Import,28 - 38  Chemicals & Allied Industries
2024,Texas-Mexico Trade,Man-made Filaments,Rail,41.998,92589.8163,54943,Import,50 - 63  Textiles
2013,Texas-Mexico Trade,Aluminum and Articles,Truck,178667.624,393895007,548756131,Import,72 - 83  Metals
2021,Texas-Mexico Trade,Preparations of Vegetables; Fruits and Nuts,Air,0.079,174.1653,2700,Export,16 - 24  Foodstuffs
2024,Texas-Mexico Trade,Carpets and Other Textile Floor Coverings,Truck,18870.195,41601692.71,116848964,Import,50 - 63  Textiles
2024,Texas-Mexico Trade,Sugars and Sugar Confectionery,Rail,9215.533,20316789.1,10550359,Import,16 - 24  Foodstuffs
2019,Texas-Mexico Trade,Wood and Articles,Rail,0,0,58474946,Export,44 - 49  Wood & Wood Products
2014,Texas-Mexico Trade,Aluminum and Articles,Rail,0,0,662567313,Export,72 - 83  Metals
2020,Texas-Mexico Trade,Explosives,Vessel,1.06,2336.9018,39268,Export,28 - 38  Chemicals & Allied Industries
2013,Texas-Mexico Trade,Vehicles Other than Railway,Vessel,506.095,1115749.395,5610226,Export,86 - 89  Transportation
2024,Texas-Mexico Trade,Products of Animal Origin,Other,0,0,3340868,Export,01 - 05  Animal & Animal Products
2013,Texas-Mexico Trade,Soap and Organic Surface-Active Agents,Truck,212571.053,468639334.5,238324284,Import,28 - 38  Chemicals & Allied Industries
2013,Texas-Mexico Trade,Essential Oils and Resinoids,Truck,181433.818,399993425.8,813018686,Import,28 - 38  Chemicals & Allied Industries
2014,Texas-Mexico Trade,Preparations of Vegetables; Fruits and Nuts,Vessel,18.024,39736.1505,56328,Import,16 - 24  Foodstuffs
2022,Texas-Mexico Trade,Wood and Articles,Truck,0,0,508352248,Export,44 - 49  Wood & Wood Products
2020,Texas-Mexico Trade,Cocoa and Cocoa Preparations,Rail,51873.101,114360705.2,30444808,Import,16 - 24  Foodstuffs
2022,Texas-Mexico Trade,Wadding; Felt and Nonwovens,Rail,0,0,3311579,Export,50 - 63  Textiles
2015,Texas-Mexico Trade,Dairy Products,Air,1.083,2387.6082,7268,Import,01 - 05  Animal & Animal Products
2015,Texas-Mexico Trade,Essential Oils and Resinoids,Vessel,192.578,424562.1614,600046,Export,28 - 38  Chemicals & Allied Industries
2017,Texas-Mexico Trade,Man-made Filaments,Truck,0,0,449242000,Export,50 - 63  Textiles
2020,Texas-Mexico Trade,Live Trees and Plants,Truck,0,0,13176961,Export,06 - 15  Vegetable Products
2017,Texas-Mexico Trade,Beverages; Spirits and Vinegar,Other,0,0,1529278,Export,16 - 24  Foodstuffs
2022,Texas-Mexico Trade,Miscellaneous Manufactured Articles,Truck,0,0,385701305,Export,90 - 97  Miscellaneous
2015,Texas-Mexico Trade,Footwear,Air,17.176,37866.6287,924605,Export,64 - 67  Footwear / Headgear
2022,Texas-Mexico Trade,Arms and Ammunition and Parts,Truck,8072.507,17796846.06,71098459,Import,90 - 97  Miscellaneous
2014,Texas-Mexico Trade,Salt; Sulfur; Plaster and Cement,Other,0,0,256831,Export,25 - 27  Mineral Products
2017,Texas-Mexico Trade,Miscellaneous Articles of Base Metals,Truck,0,0,977103318,Export,72 - 83  Metals
