Year,State,Commodity,Mode,Shipwt Metric Ton,Shipwt Pound,TradeValue,TradeType,CommodityGroup
2014,Texas-Mexico Trade,Sugars and Sugar Confectionery,Vessel,57755.878,127330019,21474068,Import,16 - 24  Foodstuffs
2022,Texas-Mexico Trade,Coffee; Tea and Spices,Air,49.499,109126.703,348687,Import,06 - 15  Vegetable Products
2021,Texas-Mexico Trade,Stone; Plaster; Cement and Asbestos,Truck,0,0,277188888,Export,68 - 71  Stone / Glass
2015,Texas-Mexico Trade,Tools of Base Metal,Rail,0,0,725143,Export,72 - 83  Metals
2021,Texas-Mexico Trade,Pulp of Wood and Paperboard,Vessel,44,97003.4744,17500,Export,44 - 49  Wood & Wood Products
2022,Texas-Mexico Trade,Special Classification Provisions,Truck,331555.412,730955157.9,3489406720,Import,98 - 99  Service
2018,Texas-Mexico Trade,Pulp of Wood and Paperboard,Other,0,0,7587,Export,44 - 49  Wood & Wood Products
2021,Texas-Mexico Trade,Ships and Boats,Truck,26690.799,58843187.27,595023232,Import,86 - 89  Transportation
2016,Texas-Mexico Trade,Copper and Articles,Rail,630.463,1389934.126,2998723,Import,72 - 83  Metals
2016,Texas-Mexico Trade,Cereals,Vessel,1070289.688,2359586783,227683987,Export,06 - 15  Vegetable Products
2013,Texas-Mexico Trade,Miscellaneous Chemical Products,Truck,165003.22,363770128.2,330764730,Import,28 - 38  Chemicals & Allied Industries
2015,Texas-Mexico Trade,Albuminoidal Substances; Glues and Enzymes,Truck,13837.34,30506137.67,46468532,Import,28 - 38  Chemicals & Allied Industries
2018,Texas-Mexico Trade,Explosives,Truck,7132.99,15725563.94,94945200,Import,28 - 38  Chemicals & Allied Industries
2017,Texas-Mexico Trade,Meat and Edible Offal,Rail,0,0,376993,Export,01 - 05  Animal & Animal Products
2023,Texas-Mexico Trade,Wood and Articles,Vessel,7.643,16849.9444,138997,Export,44 - 49  Wood & Wood Products
2014,Texas-Mexico Trade,Zinc and Articles,Vessel,2.733,6025.2385,16477,Export,72 - 83  Metals
2020,Texas-Mexico Trade,Toys; Games and Sport Equipment,Truck,51009.292,112456330.8,348619907,Import,90 - 97  Miscellaneous
2020,Texas-Mexico Trade,Wadding; Felt and Nonwovens,Other,0,0,1434359,Export,50 - 63  Textiles
2018,Texas-Mexico Trade,Fish and Crustaceans,Truck,3953.399,8715759.975,23759343,Import,01 - 05  Animal & Animal Products
2022,Texas-Mexico Trade,Miscellaneous Articles of Base Metals,Air,142.618,314419.1235,1426148,Import,72 - 83  Metals
2021,Texas-Mexico Trade,Salt; Sulfur; Plaster and Cement,Rail,0,0,128499297,Export,25 - 27  Mineral Products
2017,Texas-Mexico Trade,Copper and Articles,Truck,63862.47,140792760.9,371221118,Import,72 - 83  Metals
2016,Texas-Mexico Trade,Miscellaneous Chemical Products,Rail,0,0,347245448,Export,28 - 38  Chemicals & Allied Industries
2021,Texas-Mexico Trade,Printed Books,Vessel,1.611,3551.6498,83985,Export,44 - 49  Wood & Wood Products
2018,Texas-Mexico Trade,Other Made up Textile Articles,Rail,613.4,1352316.618,1834512,Import,50 - 63  Textiles
2016,Texas-Mexico Trade,Pharmaceutical Products,Truck,61256.928,135048519.4,277334719,Import,28 - 38  Chemicals & Allied Industries
2018,Texas-Mexico Trade,Articles of Leather and Handbags,Rail,0,0,284338,Export,"41 - 43  Raw Hides, Skins, Leather, & Furs"
2015,Texas-Mexico Trade,Furniture; Lamps and Prefabricated Buildings,Foreign Trade Zones,2594.045,5718894.953,121772402,Import,90 - 97  Miscellaneous
2020,Texas-Mexico Trade,Clocks; Watches and Parts,Air,0.01,22.0462,2289,Import,90 - 97  Miscellaneous
2024,Texas-Mexico Trade,Articles of Leather and Handbags,Vessel,0.02,44.0924,8360,Export,"41 - 43  Raw Hides, Skins, Leather, & Furs"
2014,Texas-Mexico Trade,Not Knitted or Crocheted Apparel,Other,0.018,39.6832,3180,Import,50 - 63  Textiles
2014,Texas-Mexico Trade,Tools of Base Metal,Truck,0,0,537841064,Export,72 - 83  Metals
2020,Texas-Mexico Trade,Fertilizers,Rail,1068.048,2354644.702,935142,Import,28 - 38  Chemicals & Allied Industries
2021,Texas-Mexico Trade,Impregnated Fabrics,Vessel,35.801,78927.7587,260411,Export,50 - 63  Textiles
2013,Texas-Mexico Trade,Tools of Base Metal,Rail,687.865,1516483.976,4460984,Import,72 - 83  Metals
2018,Texas-Mexico Trade,Live Animals,Air,0.066,145.5052,3400,Import,01 - 05  Animal & Animal Products
2017,Texas-Mexico Trade,Wood and Articles,Rail,0,0,71389926,Export,44 - 49  Wood & Wood Products
2013,Texas-Mexico Trade,Edible Vegetables and Roots,Air,5.922,13055.7858,4250,Export,06 - 15  Vegetable Products
2020,Texas-Mexico Trade,Ceramic Products,Air,0.396,873.0312,7764,Import,68 - 71  Stone / Glass
2023,Texas-Mexico Trade,Miscellaneous Articles of Base Metals,Rail,31633.676,69740374.61,58266130,Import,72 - 83  Metals
2016,Texas-Mexico Trade,Organic Chemicals,Air,0.19,418.8785,151250,Import,28 - 38  Chemicals & Allied Industries
2015,Texas-Mexico Trade,Pearls; Stones; Metals and Imitation Jewelry,Truck,0,0,92630498,Export,68 - 71  Stone / Glass
2019,Texas-Mexico Trade,Works of Art and Antiques,Other,0.019,41.8877,429872,Import,90 - 97  Miscellaneous
2020,Texas-Mexico Trade,Footwear,Air,3.472,7654.4556,343301,Import,64 - 67  Footwear / Headgear
2024,Texas-Mexico Trade,Miscellaneous Edible Preparations,Other,0,0,8993743,Export,16 - 24  Foodstuffs
2013,Texas-Mexico Trade,Special Woven Fabrics,Air,1.257,2771.2127,50291,Import,50 - 63  Textiles
2014,Texas-Mexico Trade,Rubber and Articles,Foreign Trade Zones,0.297,654.7734,726,Import,39 - 40  Plastics / Rubbers
2021,Texas-Mexico Trade,Paper and Paperboard,Rail,0,0,734093928,Export,44 - 49  Wood & Wood Products
2017,Texas-Mexico Trade,Rubber and Articles,Air,105.036,231564.9274,1872298,Export,39 - 40  Plastics / Rubbers
2017,Texas-Mexico Trade,Arms and Ammunition and Parts,Truck,0,0,17712801,Export,90 - 97  Miscellaneous
2021,Texas-Mexico Trade,Preparations of Vegetables; Fruits and Nuts,Vessel,2442.316,5384389.495,1731697,Export,16 - 24  Foodstuffs
2016,Texas-Mexico Trade,Wadding; Felt and Nonwovens,Truck,20888.511,46051321.45,113283721,Import,50 - 63  Textiles
2020,Texas-Mexico Trade,Straw and Basketware,Truck,0,0,1068281,Export,44 - 49  Wood & Wood Products
2013,Texas-Mexico Trade,Vehicles Other than Railway,Air,1243.59,2741648.877,18508860,Export,86 - 89  Transportation
2015,Texas-Mexico Trade,Knitted or Crocheted Apparel,Vessel,121.916,268778.9901,5042802,Import,50 - 63  Textiles
2020,Texas-Mexico Trade,Explosives,Air,0.16,352.7397,36375,Export,28 - 38  Chemicals & Allied Industries
2019,Texas-Mexico Trade,Sugars and Sugar Confectionery,Truck,0,0,187297606,Export,16 - 24  Foodstuffs
2019,Texas-Mexico Trade,Special Classification Provisions,Air,0.008,17.6369,4302,Export,98 - 99  Service
2019,Texas-Mexico Trade,Measuring and Testing Instruments,Other,0,0,4960363,Export,90 - 97  Miscellaneous
2024,Texas-Mexico Trade,Miscellaneous Manufactured Articles,Air,1.12,2469.1791,29199,Import,90 - 97  Miscellaneous
2014,Texas-Mexico Trade,Pearls; Stones; Metals and Imitation Jewelry,Rail,0,0,147859,Export,68 - 71  Stone / Glass
2013,Texas-Mexico Trade,Lead and Articles,Air,2.302,5075.0454,19533,Export,72 - 83  Metals
2014,Texas-Mexico Trade,Pharmaceutical Products,Air,13.43,29608.1039,5009722,Export,28 - 38  Chemicals & Allied Industries
2019,Texas-Mexico Trade,Not Knitted or Crocheted Apparel,Other,0,0,85492,Export,50 - 63  Textiles
2014,Texas-Mexico Trade,Coffee; Tea and Spices,Air,33.77,74450.1663,93044,Import,06 - 15  Vegetable Products
2017,Texas-Mexico Trade,Stone; Plaster; Cement and Asbestos,Truck,0,0,275343144,Export,68 - 71  Stone / Glass
2020,Texas-Mexico Trade,Zinc and Articles,Other,0,0,6135,Export,72 - 83  Metals
2024,Texas-Mexico Trade,Tanning or Dyeing Extracts,Air,12.58,27734.1727,683009,Export,28 - 38  Chemicals & Allied Industries
2018,Texas-Mexico Trade,Printed Books,Truck,31187.83,68757451.63,193339510,Import,44 - 49  Wood & Wood Products
2016,Texas-Mexico Trade,Oil Seeds and Oleaginous Fruits,Vessel,45948.508,101299202.8,17458455,Export,06 - 15  Vegetable Products
2014,Texas-Mexico Trade,Ceramic Products,Air,16.323,35986.0831,5451843,Export,68 - 71  Stone / Glass
2016,Texas-Mexico Trade,Raw Hides and Skins,Rail,0,0,2643981,Export,"41 - 43  Raw Hides, Skins, Leather, & Furs"
2024,Texas-Mexico Trade,Vehicles Other than Railway,Vessel,157.579,347402.5108,1761186,Export,86 - 89  Transportation
2015,Texas-Mexico Trade,Other Made up Textile Articles,Rail,0,0,609870,Export,50 - 63  Textiles
2020,Texas-Mexico Trade,Paper and Paperboard,Truck,0,0,1820281540,Export,44 - 49  Wood & Wood Products
2024,Texas-Mexico Trade,Nickel and Articles,Vessel,0.004,8.8184,2883,Export,72 - 83  Metals
2017,Texas-Mexico Trade,Knitted or Crocheted Apparel,Other,0.211,465.1756,4159,Import,50 - 63  Textiles
2016,Texas-Mexico Trade,Measuring and Testing Instruments,Truck,205042.969,452042736.6,7643828384,Import,90 - 97  Miscellaneous
2020,Texas-Mexico Trade,Sugars and Sugar Confectionery,Other,0,0,539105,Export,16 - 24  Foodstuffs
2013,Texas-Mexico Trade,Essential Oils and Resinoids,Foreign Trade Zones,1.907,4204.2186,17479,Import,28 - 38  Chemicals & Allied Industries
2014,Texas-Mexico Trade,Articles of Leather and Handbags,Air,7.385,16281.1505,176933,Export,"41 - 43  Raw Hides, Skins, Leather, & Furs"
2019,Texas-Mexico Trade,Locomotives and Traffic Signals,Truck,0,0,599974583,Export,86 - 89  Transportation
2019,Texas-Mexico Trade,Raw Hides and Skins,Truck,6492.974,14314569.04,72934351,Import,"41 - 43  Raw Hides, Skins, Leather, & Furs"
2013,Texas-Mexico Trade,Articles of Iron and Steel,Truck,1060300.651,2337564708,2544487672,Import,72 - 83  Metals
2020,Texas-Mexico Trade,Carpets and Other Textile Floor Coverings,Vessel,0.009,19.8416,329,Import,50 - 63  Textiles
2017,Texas-Mexico Trade,Printed Books,Other,0,0,509236,Export,44 - 49  Wood & Wood Products
2023,Texas-Mexico Trade,Tools of Base Metal,Air,57.638,127070.139,18883742,Export,72 - 83  Metals
2020,Texas-Mexico Trade,Miscellaneous Chemical Products,Rail,58051.829,127982479.8,65155427,Import,28 - 38  Chemicals & Allied Industries
2014,Texas-Mexico Trade,Glass,Foreign Trade Zones,1.147,2528.7042,5182,Import,68 - 71  Stone / Glass
2013,Texas-Mexico Trade,Organic Chemicals,Air,124.866,275282.6318,453514,Export,28 - 38  Chemicals & Allied Industries
