Year,Port Original,POE,Region,Mode,Commodity Group,Commodity,Trade Type,Trade Value,Lat,Lon,Shipwt Metric Ton,Shipwt Pound
2016,El Paso,El Paso + Ysleta,El Paso,Truck,28 - 38  Chemicals & Allied Industries,Organic Chemicals,Import,33491,31.764363,-106.451188,16.832,37108.2378
2015,Brownsville,Brownsville,Pharr,Rail,84 - 85  Machinery / Electrical,Electrical Machinery; Equipment and Parts,Export,11881,25.95155,-97.40067,0,0
2019,Presidio,Presidio,El Paso,Truck,16 - 24  Foodstuffs,Tobacco and Manufactured Tobacco,Export,11060,29.561827,-104.394907,0,0
2017,El Paso,El Paso + Ysleta,El Paso,Truck,16 - 24  Foodstuffs,Tobacco and Manufactured Tobacco,Export,59400,31.764363,-106.451188,0,0
2021,Laredo,Laredo,Laredo,Truck,"41 - 43  Raw Hides, Skins, Leather, & Furs",Articles of Leather and Handbags,Import,88996969,27.499561,-99.507412,4577.866,10092475.18
2019,Eagle Pass,Eagle Pass,Laredo,Truck,72 - 83  Metals,Nickel and Articles,Export,312863,28.705483,-100.511977,0,0
2020,Rio Grande City,Rio Grande City,Pharr,Truck,72 - 83  Metals,Articles of Iron and Steel,Import,67754048,26.365761,-98.802513,62169.035,137059372.7
2015,Presidio,Presidio,El Paso,Truck,39 - 40  Plastics / Rubbers,Plastics and Articles,Export,41709267,29.561827,-104.394907,0,0
2014,Eagle Pass,Eagle Pass,Laredo,Rail,16 - 24  Foodstuffs,Sugars and Sugar Confectionery,Import,47975519,28.705483,-100.511977,91127.67,200902286.6
2021,Roma,Roma,Pharr,Truck,86 - 89  Transportation,Aircraft; Spacecraft and Parts,Export,299053,26.403928,-99.018981,0,0
2017,El Paso,El Paso + Ysleta,El Paso,Truck,39 - 40  Plastics / Rubbers,Rubber and Articles,Export,271718654,31.764363,-106.451188,0,0
2015,Laredo,Laredo,Laredo,Truck,28 - 38  Chemicals & Allied Industries,Inorganic Chemicals,Import,220633273,27.499561,-99.507412,172202.456,379641739.7
2024,Brownsville,Brownsville,Pharr,Vessel,86 - 89  Transportation,Locomotives and Traffic Signals,Export,138980,25.95155,-97.40067,18.756,41349.9355
2021,Ysleta,El Paso + Ysleta,El Paso,Truck,90 - 97  Miscellaneous,Furniture; Lamps and Prefabricated Buildings,Import,1933562065,31.672276,-106.335328,183282.345,404068733.6
2020,Hidalgo,Hidalgo,Pharr,Other,86 - 89  Transportation,Aircraft; Spacecraft and Parts,Export,10270,26.095032,-98.271092,0,0
2016,Laredo,Laredo,Laredo,Rail,44 - 49  Wood & Wood Products,Wood and Articles,Import,9433,27.499561,-99.507412,4.39,9678.301
2014,Laredo,Laredo,Laredo,Rail,86 - 89  Transportation,Locomotives and Traffic Signals,Export,27318212,27.499561,-99.507412,0,0
2015,Laredo,Laredo,Laredo,Rail,90 - 97  Miscellaneous,Measuring and Testing Instruments,Export,245250464,27.499561,-99.507412,0,0
2024,Del Rio,Del Rio,Laredo,Truck,86 - 89  Transportation,Aircraft; Spacecraft and Parts,Export,463554292,29.326784,-100.927612,0,0
2023,Tornillo,Tornillo,El Paso,Truck,50 - 63  Textiles,Impregnated Fabrics,Import,14669514,31.43019,-106.142743,2603.199,5739076.086
2015,Eagle Pass,Eagle Pass,Laredo,Rail,72 - 83  Metals,Iron and Steel,Export,332007005,28.705483,-100.511977,0,0
2016,Hidalgo,Hidalgo,Pharr,Truck,44 - 49  Wood & Wood Products,Printed Books,Export,18513604,26.095032,-98.271092,0,0
2024,Ysleta,El Paso + Ysleta,El Paso,Rail,39 - 40  Plastics / Rubbers,Plastics and Articles,Import,56052,31.672276,-106.335328,107.605,237228.6107
2015,Presidio,Presidio,El Paso,Truck,06 - 15  Vegetable Products,Lac; Gums; Resins and Saps,Export,387588,29.561827,-104.394907,0,0
2015,Progreso,Progreso,Pharr,Truck,06 - 15  Vegetable Products,Oil Seeds and Oleaginous Fruits,Import,7000,26.062133,-97.949958,1.103,2431.7007
2024,Laredo,Laredo,Laredo,Air,72 - 83  Metals,Nickel and Articles,Export,329262,27.499561,-99.507412,37.087,81762.9053
2022,Brownsville,Brownsville,Pharr,Truck,01 - 05  Animal & Animal Products,Dairy Products,Import,2886,25.95155,-97.40067,0.7,1543.237
2023,Eagle Pass,Eagle Pass,Laredo,Truck,28 - 38  Chemicals & Allied Industries,Explosives,Import,6233754,28.705483,-100.511977,2129.276,4694253.866
2023,Ysleta,El Paso + Ysleta,El Paso,Truck,39 - 40  Plastics / Rubbers,Rubber and Articles,Export,223073909,31.672276,-106.335328,0,0
2022,Eagle Pass,Eagle Pass,Laredo,Truck,72 - 83  Metals,Tools of Base Metal,Import,695340,28.705483,-100.511977,22.855,50386.6906
2023,Del Rio,Del Rio,Laredo,Truck,44 - 49  Wood & Wood Products,Printed Books,Import,119417,29.326784,-100.927612,145.236,320190.8321
2024,Eagle Pass,Eagle Pass,Laredo,Truck,50 - 63  Textiles,Not Knitted or Crocheted Apparel,Export,13418490,28.705483,-100.511977,0,0
2016,Hidalgo,Hidalgo,Pharr,Air,86 - 89  Transportation,Aircraft; Spacecraft and Parts,Export,8494565,26.095032,-98.271092,22.107,48737.6319
2013,Presidio,Presidio,El Paso,Truck,68 - 71  Stone / Glass,Ceramic Products,Import,10388,29.561827,-104.394907,26.864,59225.0304
2021,Hidalgo,Hidalgo,Pharr,Truck,01 - 05  Animal & Animal Products,Fish and Crustaceans,Export,757631,26.095032,-98.271092,0,0
