Year,State,Commodity,Mode,Commodity Group,Trade Type,Trade Value,Shipwt Metric Ton,Shipwt Pound
2021,U.S-Mexico Trade,Electrical Machinery; Equipment and Parts,Air,84 - 85  Machinery / Electrical,Import,4129040835,27581.705,60807300.34
2021,U.S-Mexico Trade,Special Classification Provisions,Truck,98 - 99  Service,Export,5430297903,0,0
2016,U.S-Mexico Trade,Lac; Gums; Resins and Saps,Other,06 - 15  Vegetable Products,Export,3244450,0,0
2018,U.S-Mexico Trade,Cotton,Air,50 - 63  Textiles,Import,282390,34.042,75049.8228
2020,U.S-Mexico Trade,Wadding; Felt and Nonwovens,Rail,50 - 63  Textiles,Export,19049063,0,0
2013,U.S-Mexico Trade,Live Trees and Plants,Other,06 - 15  Vegetable Products,Export,43518301,0,0
2014,U.S-Mexico Trade,Salt; Sulfur; Plaster and Cement,Other,25 - 27  Mineral Products,Export,53196398,0,0
2017,U.S-Mexico Trade,Wool and Animal Hair,Vessel,50 - 63  Textiles,Import,10754,1.209,2665.3907
2023,U.S-Mexico Trade,Measuring and Testing Instruments,Air,90 - 97  Miscellaneous,Export,3850827500,10937.928,24114023.1
2024,U.S-Mexico Trade,Miscellaneous Edible Preparations,Vessel,16 - 24  Foodstuffs,Export,33593630,2344.161,5167994.583
2024,U.S-Mexico Trade,Toys; Games and Sport Equipment,Truck,90 - 97  Miscellaneous,Export,3191553180,0,0
2024,U.S-Mexico Trade,Not Knitted or Crocheted Apparel,Truck,50 - 63  Textiles,Import,1927044016,78737.546,173586716.7
2021,U.S-Mexico Trade,Headgear,Air,64 - 67  Footwear / Headgear,Export,8894979,174.194,384032.336
2023,U.S-Mexico Trade,Iron and Steel,Vessel,72 - 83  Metals,Import,1904834382,2604525.854,5742001301
2015,U.S-Mexico Trade,Sugars and Sugar Confectionery,Rail,16 - 24  Foodstuffs,Export,506934502,0,0
2021,U.S-Mexico Trade,Malts; Starches and Inulin,Vessel,06 - 15  Vegetable Products,Export,1117095,1691.176,3728407.907
2015,U.S-Mexico Trade,Iron and Steel,Other,72 - 83  Metals,Export,92843548,0,0
2021,U.S-Mexico Trade,Musical Instruments and Parts,Air,90 - 97  Miscellaneous,Import,6443529,104.438,230246.5618
2021,U.S-Mexico Trade,Man-made Filaments,Other,50 - 63  Textiles,Export,18206098,0,0
2024,U.S-Mexico Trade,Mineral Fuels; Oils and Waxes,Air,25 - 27  Mineral Products,Import,333760,31.674,69829.2717
2022,U.S-Mexico Trade,Wood and Articles,Other,44 - 49  Wood & Wood Products,Export,264379254,0,0
2024,U.S-Mexico Trade,Oil Seeds and Oleaginous Fruits,Rail,06 - 15  Vegetable Products,Export,1849108896,0,0
2023,U.S-Mexico Trade,Copper and Articles,Other,72 - 83  Metals,Export,129349750,0,0
2013,U.S-Mexico Trade,Ships and Boats,Air,86 - 89  Transportation,Export,13301803,533.987,1177240.776
2023,U.S-Mexico Trade,Zinc and Articles,Truck,72 - 83  Metals,Import,350807417,106050.153,233800757.1
2021,U.S-Mexico Trade,Not Knitted or Crocheted Apparel,Truck,50 - 63  Textiles,Import,2013465289,105398.097,232363218.5
2017,U.S-Mexico Trade,Cereals,Vessel,06 - 15  Vegetable Products,Export,1491606498,7988121.479,17610807683
2013,U.S-Mexico Trade,Vehicles Other than Railway,Vessel,86 - 89  Transportation,Import,2628614514,244916.57,539949051.1
2014,U.S-Mexico Trade,Albuminoidal Substances; Glues and Enzymes,Truck,28 - 38  Chemicals & Allied Industries,Export,1232048501,0,0
2016,U.S-Mexico Trade,Feathers and Down,Air,64 - 67  Footwear / Headgear,Import,213972,3.664,8077.7419
2019,U.S-Mexico Trade,Printed Books,Truck,44 - 49  Wood & Wood Products,Export,1867341842,0,0
2022,U.S-Mexico Trade,Coffee; Tea and Spices,Vessel,06 - 15  Vegetable Products,Export,8012285,2125.611,4686173.916
2019,U.S-Mexico Trade,Inorganic Chemicals,Vessel,28 - 38  Chemicals & Allied Industries,Export,212334598,720808.497,1589112015
2019,U.S-Mexico Trade,Raw Hides and Skins,Other,"41 - 43  Raw Hides, Skins, Leather, & Furs",Export,2399556,0,0
2019,U.S-Mexico Trade,Vehicles Other than Railway,Mail,86 - 89  Transportation,Export,2938197,0,0
2016,U.S-Mexico Trade,Cereals,Air,06 - 15  Vegetable Products,Export,88456,271.055,597574.4716
2021,U.S-Mexico Trade,Footwear,Truck,64 - 67  Footwear / Headgear,Export,259348199,0,0
2015,U.S-Mexico Trade,Edible Fruit and Nuts,Vessel,06 - 15  Vegetable Products,Import,101693325,264673.918,583506583
2020,U.S-Mexico Trade,Oil Seeds and Oleaginous Fruits,Vessel,06 - 15  Vegetable Products,Export,538422234,1508667.114,3326044361
2015,U.S-Mexico Trade,Preparations of Fish and Meat,Rail,16 - 24  Foodstuffs,Import,337546,176.973,390158.9974
2020,U.S-Mexico Trade,Footwear,Air,64 - 67  Footwear / Headgear,Import,6766111,222.13,489713.2168
2020,U.S-Mexico Trade,Musical Instruments and Parts,Truck,90 - 97  Miscellaneous,Export,92146401,0,0
2015,U.S-Mexico Trade,Works of Art and Antiques,Vessel,90 - 97  Miscellaneous,Export,106552,3.961,8732.5169
2017,U.S-Mexico Trade,Miscellaneous Articles of Base Metals,Rail,72 - 83  Metals,Import,59541582,12583.654,27742230.9
2024,U.S-Mexico Trade,Miscellaneous Manufactured Articles,Vessel,90 - 97  Miscellaneous,Import,797173,94.144,207552.1601
2024,U.S-Mexico Trade,Footwear,Rail,64 - 67  Footwear / Headgear,Import,49224363,2480.21,5467931.531
2022,U.S-Mexico Trade,Live Trees and Plants,Truck,06 - 15  Vegetable Products,Import,803544253,265641.604,585639967.2
2015,U.S-Mexico Trade,Meat and Edible Offal,Vessel,01 - 05  Animal & Animal Products,Export,6487830,1836.929,4049738.528
2013,U.S-Mexico Trade,Aluminum and Articles,Other,72 - 83  Metals,Import,94913,46.843,103271.2216
2019,U.S-Mexico Trade,Locomotives and Traffic Signals,Vessel,86 - 89  Transportation,Export,10720977,5032.389,11094527.68
2024,U.S-Mexico Trade,Soap and Organic Surface-Active Agents,Truck,28 - 38  Chemicals & Allied Industries,Export,3385436174,0,0
2023,U.S-Mexico Trade,Straw and Basketware,Truck,44 - 49  Wood & Wood Products,Import,40661572,6676.399,14718952.27
2023,U.S-Mexico Trade,Meat and Edible Offal,Air,01 - 05  Animal & Animal Products,Import,4564,0.55,1212.5434
2017,U.S-Mexico Trade,Dairy Products,Vessel,01 - 05  Animal & Animal Products,Import,5662936,1905.46,4200823.645
2024,U.S-Mexico Trade,Food Residues and Waste,Air,16 - 24  Foodstuffs,Import,56393,4.276,9426.9736
2020,U.S-Mexico Trade,Ships and Boats,Rail,86 - 89  Transportation,Import,1723840,178.936,394486.6749
2021,U.S-Mexico Trade,Glass,Air,68 - 71  Stone / Glass,Import,14792435,500.478,1103366.012
2013,U.S-Mexico Trade,Silk,Mail,50 - 63  Textiles,Export,3190,0,0
2015,U.S-Mexico Trade,Other Made up Textile Articles,Other,50 - 63  Textiles,Export,184078946,0,0
2024,U.S-Mexico Trade,Aluminum and Articles,Mail,72 - 83  Metals,Export,18728,0,0
2020,U.S-Mexico Trade,Photographic Goods,Other,28 - 38  Chemicals & Allied Industries,Export,11247621,0,0
2019,U.S-Mexico Trade,Albuminoidal Substances; Glues and Enzymes,Truck,28 - 38  Chemicals & Allied Industries,Export,1216054320,0,0
2019,U.S-Mexico Trade,Essential Oils and Resinoids,Mail,28 - 38  Chemicals & Allied Industries,Export,833158,0,0
2022,U.S-Mexico Trade,Vegetable Plaiting Materials,Other,06 - 15  Vegetable Products,Export,2533348,0,0
2023,U.S-Mexico Trade,Edible Vegetables and Roots,Air,06 - 15  Vegetable Products,Import,4628413,483.875,1066762.638
2019,U.S-Mexico Trade,Oil Seeds and Oleaginous Fruits,Mail,06 - 15  Vegetable Products,Import,3780,0.908,2001.7989
2013,U.S-Mexico Trade,Wadding; Felt and Nonwovens,Truck,50 - 63  Textiles,Import,235992135,48536.699,107005191.9
2021,U.S-Mexico Trade,Carpets and Other Textile Floor Coverings,Truck,50 - 63  Textiles,Import,118229918,23783.464,52433605.52
2024,U.S-Mexico Trade,Rubber and Articles,Air,39 - 40  Plastics / Rubbers,Export,94247584,3055.394,6735996.197
2013,U.S-Mexico Trade,Edible Fruit and Nuts,Rail,06 - 15  Vegetable Products,Export,148214214,0,0
2020,U.S-Mexico Trade,Printed Books,Other,44 - 49  Wood & Wood Products,Export,227298781,0,0
2016,U.S-Mexico Trade,Lead and Articles,Vessel,72 - 83  Metals,Import,28511010,15254.312,33630028.75
2023,U.S-Mexico Trade,Live Trees and Plants,Air,06 - 15  Vegetable Products,Export,6399435,365.764,806372.2385
2024,U.S-Mexico Trade,Coffee; Tea and Spices,Rail,06 - 15  Vegetable Products,Import,124882,14.402,31751.0006
2018,U.S-Mexico Trade,Iron and Steel,Vessel,72 - 83  Metals,Import,1331548003,2604236.044,5741362379
2014,U.S-Mexico Trade,Articles of Leather and Handbags,Rail,"41 - 43  Raw Hides, Skins, Leather, & Furs",Export,3616028,0,0
2015,U.S-Mexico Trade,Articles of Iron and Steel,Mail,72 - 83  Metals,Export,280680,0,0
2013,U.S-Mexico Trade,Explosives,Rail,28 - 38  Chemicals & Allied Industries,Import,10648,19.36,42681.5287
2019,U.S-Mexico Trade,Wadding; Felt and Nonwovens,Vessel,50 - 63  Textiles,Import,10797054,2886.562,6363785.072
2017,U.S-Mexico Trade,Not Knitted or Crocheted Apparel,Rail,50 - 63  Textiles,Export,2168565,0,0
2024,U.S-Mexico Trade,Salt; Sulfur; Plaster and Cement,Air,25 - 27  Mineral Products,Export,2829446,2879.193,6347539.194
2017,U.S-Mexico Trade,Special Woven Fabrics,Vessel,50 - 63  Textiles,Export,2213535,259.541,572190.4249
2020,U.S-Mexico Trade,Wool and Animal Hair,Truck,50 - 63  Textiles,Export,20769293,0,0
2013,U.S-Mexico Trade,Measuring and Testing Instruments,Other,90 - 97  Miscellaneous,Export,932061562,0,0
2020,U.S-Mexico Trade,Articles of Leather and Handbags,Other,"41 - 43  Raw Hides, Skins, Leather, & Furs",Export,202151264,0,0
2024,U.S-Mexico Trade,Cork and Articles,Truck,44 - 49  Wood & Wood Products,Export,14844580,0,0
2017,U.S-Mexico Trade,Miscellaneous Chemical Products,Mail,28 - 38  Chemicals & Allied Industries,Import,6368,1.021,2250.9215
2015,U.S-Mexico Trade,Headgear,Mail,64 - 67  Footwear / Headgear,Export,215850,0,0
2024,U.S-Mexico Trade,Aircraft; Spacecraft and Parts,Air,86 - 89  Transportation,Export,6283522723,7206.926,15888565
2013,U.S-Mexico Trade,Preparations of Vegetables; Fruits and Nuts,Vessel,16 - 24  Foodstuffs,Import,98807868,84852.137,187067093.3
2018,U.S-Mexico Trade,Products of Animal Origin,Rail,01 - 05  Animal & Animal Products,Export,8008343,0,0
2013,U.S-Mexico Trade,Tools of Base Metal,Other,72 - 83  Metals,Export,330376127,0,0
2019,U.S-Mexico Trade,Impregnated Fabrics,Truck,50 - 63  Textiles,Export,1312310655,0,0
2021,U.S-Mexico Trade,Miscellaneous Articles of Base Metals,Truck,72 - 83  Metals,Export,2602968493,0,0
2014,U.S-Mexico Trade,Other Base Metals and Cermets,Air,72 - 83  Metals,Export,53335317,943.399,2079840.459
2022,U.S-Mexico Trade,Miscellaneous Manufactured Articles,Rail,90 - 97  Miscellaneous,Export,29321445,0,0
2022,U.S-Mexico Trade,Clocks; Watches and Parts,Other,90 - 97  Miscellaneous,Export,30403400,0,0
2013,U.S-Mexico Trade,Other Vegetable Fibers and Paper Yarn,Rail,50 - 63  Textiles,Import,9027204,11574.448,25517310.71
2013,U.S-Mexico Trade,Food Residues and Waste,Other,16 - 24  Foodstuffs,Export,58308358,0,0
2015,U.S-Mexico Trade,Arms and Ammunition and Parts,Rail,90 - 97  Miscellaneous,Import,672874,264.581,583301.7327
2018,U.S-Mexico Trade,Live Trees and Plants,Vessel,06 - 15  Vegetable Products,Export,200435,130.183,287004.6208
2017,U.S-Mexico Trade,Ores; Slag and Ash,Air,25 - 27  Mineral Products,Import,5070,0.113,249.1225
2016,U.S-Mexico Trade,Glass,Other,68 - 71  Stone / Glass,Export,247160963,0,0
2020,U.S-Mexico Trade,Locomotives and Traffic Signals,Rail,86 - 89  Transportation,Import,148017888,92576.467,204096339.9
2020,U.S-Mexico Trade,Vehicles Other than Railway,Other,86 - 89  Transportation,Import,1507433,340.512,750701.0664
2015,U.S-Mexico Trade,Furniture; Lamps and Prefabricated Buildings,Foreign Trade Zones,90 - 97  Miscellaneous,Import,130255304,3486.042,7685413.32
2022,U.S-Mexico Trade,Other Made up Textile Articles,Air,50 - 63  Textiles,Import,8305590,134.161,295774.6075
2019,U.S-Mexico Trade,Mineral Fuels; Oils and Waxes,Rail,25 - 27  Mineral Products,Export,5395575923,0,0
2018,U.S-Mexico Trade,Copper and Articles,Mail,72 - 83  Metals,Export,21320,0,0
2016,U.S-Mexico Trade,Ores; Slag and Ash,Truck,25 - 27  Mineral Products,Export,568294196,0,0
2013,U.S-Mexico Trade,Stone; Plaster; Cement and Asbestos,Air,68 - 71  Stone / Glass,Import,3994685,228.364,503456.847
2022,U.S-Mexico Trade,Straw and Basketware,Air,44 - 49  Wood & Wood Products,Export,74845,3.827,8437.0971
2019,U.S-Mexico Trade,Miscellaneous Chemical Products,Other,28 - 38  Chemicals & Allied Industries,Import,29826,20.315,44786.945
2021,U.S-Mexico Trade,Printed Books,Foreign Trade Zones,44 - 49  Wood & Wood Products,Import,6736,0.898,1979.7527
2024,U.S-Mexico Trade,Explosives,Truck,28 - 38  Chemicals & Allied Industries,Export,302643432,0,0
2020,U.S-Mexico Trade,Nickel and Articles,Truck,72 - 83  Metals,Export,352678621,0,0
2019,U.S-Mexico Trade,Ores; Slag and Ash,Other,25 - 27  Mineral Products,Export,9215724,0,0
2024,U.S-Mexico Trade,Beverages; Spirits and Vinegar,Other,16 - 24  Foodstuffs,Export,68617159,0,0
2023,U.S-Mexico Trade,Oil Seeds and Oleaginous Fruits,Vessel,06 - 15  Vegetable Products,Import,9018200,2504.656,5521825.78
2019,U.S-Mexico Trade,Organic Chemicals,Vessel,28 - 38  Chemicals & Allied Industries,Import,612263213,573416.996,1264169112
2022,U.S-Mexico Trade,Malts; Starches and Inulin,Vessel,06 - 15  Vegetable Products,Import,8246847,9885.523,21793865.41
2015,U.S-Mexico Trade,Carpets and Other Textile Floor Coverings,Truck,50 - 63  Textiles,Export,581477460,0,0
2015,U.S-Mexico Trade,Feathers and Down,Air,64 - 67  Footwear / Headgear,Export,3512405,71.495,157619.6152
2014,U.S-Mexico Trade,Lead and Articles,Rail,72 - 83  Metals,Import,345190048,154392.779,340378090.9
2018,U.S-Mexico Trade,Ships and Boats,Mail,86 - 89  Transportation,Export,48023,0,0
2020,U.S-Mexico Trade,Food Residues and Waste,Truck,16 - 24  Foodstuffs,Export,1636183948,0,0
2024,U.S-Mexico Trade,Ceramic Products,Other,68 - 71  Stone / Glass,Export,108785982,0,0
2019,U.S-Mexico Trade,Tin and Articles,Truck,72 - 83  Metals,Import,39575756,25871.831,57037670.41
2023,U.S-Mexico Trade,Soap and Organic Surface-Active Agents,Rail,28 - 38  Chemicals & Allied Industries,Import,54090296,23302.162,51372515.38
2017,U.S-Mexico Trade,Cocoa and Cocoa Preparations,Other,16 - 24  Foodstuffs,Export,22306953,0,0
2023,U.S-Mexico Trade,Stone; Plaster; Cement and Asbestos,Rail,68 - 71  Stone / Glass,Export,143629803,0,0
2018,U.S-Mexico Trade,Edible Fruit and Nuts,Vessel,06 - 15  Vegetable Products,Import,179336640,356080.446,785023646.8
2015,U.S-Mexico Trade,Knitted or Crocheted Apparel,Air,50 - 63  Textiles,Import,21805493,509.259,1122724.817
2021,U.S-Mexico Trade,Furskins and Artificial Fur,Air,"41 - 43  Raw Hides, Skins, Leather, & Furs",Export,707446,11.82,26058.6582
2024,U.S-Mexico Trade,Dairy Products,Truck,01 - 05  Animal & Animal Products,Import,536763402,196782.32,433831108.1
2021,U.S-Mexico Trade,Wood and Articles,Other,44 - 49  Wood & Wood Products,Import,77340,91.844,202481.5252
2014,U.S-Mexico Trade,Printed Books,Truck,44 - 49  Wood & Wood Products,Export,2438912344,0,0
2015,U.S-Mexico Trade,Other Base Metals and Cermets,Rail,72 - 83  Metals,Export,3777061,0,0
2017,U.S-Mexico Trade,Rubber and Articles,Mail,39 - 40  Plastics / Rubbers,Export,111072,0,0
2016,U.S-Mexico Trade,Tools of Base Metal,Foreign Trade Zones,72 - 83  Metals,Import,362378,1.779,3922.0266
2019,U.S-Mexico Trade,Copper and Articles,Air,72 - 83  Metals,Export,14587574,788.532,1738416.889
2024,U.S-Mexico Trade,Paper and Paperboard,Truck,44 - 49  Wood & Wood Products,Import,7277873797,4652951.122,10258009669
2014,U.S-Mexico Trade,Organic Chemicals,Pipeline,28 - 38  Chemicals & Allied Industries,Import,106368364,128266.497,282779451.6
2015,U.S-Mexico Trade,Footwear,Other,64 - 67  Footwear / Headgear,Export,116953006,0,0
2014,U.S-Mexico Trade,Musical Instruments and Parts,Other,90 - 97  Miscellaneous,Export,24860443,0,0
2024,U.S-Mexico Trade,Wood and Articles,Rail,44 - 49  Wood & Wood Products,Import,5455788125,9880013.721,21781719521
2013,U.S-Mexico Trade,Mineral Fuels; Oils and Waxes,Other,25 - 27  Mineral Products,Import,2429280934,0,0
2023,U.S-Mexico Trade,Wool and Animal Hair,Other,50 - 63  Textiles,Export,1756509,0,0
2016,U.S-Mexico Trade,Animal or Vegetable Fats and Oils,Mail,06 - 15  Vegetable Products,Export,5223,0,0
2023,U.S-Mexico Trade,Pharmaceutical Products,Other,28 - 38  Chemicals & Allied Industries,Export,128575026,0,0
2022,U.S-Mexico Trade,Not Knitted or Crocheted Apparel,Other,50 - 63  Textiles,Import,22579,0.723,1593.9428
2015,U.S-Mexico Trade,Preparations of Cereals and Flour,Other,16 - 24  Foodstuffs,Export,66113312,0,0
2019,U.S-Mexico Trade,Meat and Edible Offal,Air,01 - 05  Animal & Animal Products,Export,5382494,1009.72,2226053.368
2020,U.S-Mexico Trade,Wood and Articles,Vessel,44 - 49  Wood & Wood Products,Import,32863490,212013.83,467410867
2014,U.S-Mexico Trade,Silk,Truck,50 - 63  Textiles,Export,2452730,0,0
2022,U.S-Mexico Trade,Furskins and Artificial Fur,Truck,"41 - 43  Raw Hides, Skins, Leather, & Furs",Export,10500438,0,0
2015,U.S-Mexico Trade,Knitted or Crocheted Fabrics,Mail,50 - 63  Textiles,Export,35769,0,0
2022,U.S-Mexico Trade,Zinc and Articles,Rail,72 - 83  Metals,Export,526177,0,0
2022,U.S-Mexico Trade,Vehicles Other than Railway,Mail,86 - 89  Transportation,Export,2298760,0,0
2019,U.S-Mexico Trade,Food Residues and Waste,Foreign Trade Zones,16 - 24  Foodstuffs,Import,40106,6.662,14687.2078
2018,U.S-Mexico Trade,Man-made Staple Fibers,Truck,50 - 63  Textiles,Export,559529450,0,0
2024,U.S-Mexico Trade,Miscellaneous Chemical Products,Foreign Trade Zones,28 - 38  Chemicals & Allied Industries,Import,2948385,157.105,346357.5187
2024,U.S-Mexico Trade,Vehicles Other than Railway,Mail,86 - 89  Transportation,Export,1160143,0,0
2017,U.S-Mexico Trade,Ores; Slag and Ash,Vessel,25 - 27  Mineral Products,Export,978820155,6399372.288,14108212419
2013,U.S-Mexico Trade,Footwear,Other,64 - 67  Footwear / Headgear,Export,96352037,0,0
2013,U.S-Mexico Trade,Stone; Plaster; Cement and Asbestos,Vessel,68 - 71  Stone / Glass,Export,4393176,4650.21,10251966.52
2014,U.S-Mexico Trade,Soap and Organic Surface-Active Agents,Rail,28 - 38  Chemicals & Allied Industries,Import,134744532,66309.788,146188177.9
2023,U.S-Mexico Trade,Furniture; Lamps and Prefabricated Buildings,Foreign Trade Zones,90 - 97  Miscellaneous,Import,21301710,1131.685,2494940.383
2014,U.S-Mexico Trade,Edible Vegetables and Roots,Other,06 - 15  Vegetable Products,Import,21318,18.96,41799.679
2021,U.S-Mexico Trade,Ceramic Products,Rail,68 - 71  Stone / Glass,Export,7241431,0,0
2014,U.S-Mexico Trade,Essential Oils and Resinoids,Mail,28 - 38  Chemicals & Allied Industries,Export,926641,0,0
2022,U.S-Mexico Trade,Straw and Basketware,Vessel,44 - 49  Wood & Wood Products,Import,468220,19.061,42022.3456
2019,U.S-Mexico Trade,Miscellaneous Manufactured Articles,Rail,90 - 97  Miscellaneous,Import,35284127,8022.439,17686464.93
2021,U.S-Mexico Trade,Inorganic Chemicals,Foreign Trade Zones,28 - 38  Chemicals & Allied Industries,Import,76351,61.476,135531.4907
2016,U.S-Mexico Trade,Knitted or Crocheted Apparel,Foreign Trade Zones,50 - 63  Textiles,Import,84065,17.654,38920.4387
2022,U.S-Mexico Trade,Other Made up Textile Articles,Vessel,50 - 63  Textiles,Export,6200680,547.33,1206657.081
2023,U.S-Mexico Trade,Paper and Paperboard,Mail,44 - 49  Wood & Wood Products,Export,50779,0,0
2018,U.S-Mexico Trade,Live Trees and Plants,Air,06 - 15  Vegetable Products,Import,9961971,527.915,1163854.297
2020,U.S-Mexico Trade,Tanning or Dyeing Extracts,Rail,28 - 38  Chemicals & Allied Industries,Import,116603886,57780.494,127384288.1
2017,U.S-Mexico Trade,Footwear,Air,64 - 67  Footwear / Headgear,Export,9190080,357.766,788739.6506
2019,U.S-Mexico Trade,Footwear,Other,64 - 67  Footwear / Headgear,Import,20098,0.704,1552.0553
2015,U.S-Mexico Trade,Lead and Articles,Rail,72 - 83  Metals,Export,392974,0,0
2021,U.S-Mexico Trade,Mineral Fuels; Oils and Waxes,Vessel,25 - 27  Mineral Products,Export,27965029297,57335827.82,1.26404E+11
2014,U.S-Mexico Trade,Essential Oils and Resinoids,Vessel,28 - 38  Chemicals & Allied Industries,Export,31825825,1627.947,3589011.705
2018,U.S-Mexico Trade,Wadding; Felt and Nonwovens,Truck,50 - 63  Textiles,Export,1152603340,0,0
2022,U.S-Mexico Trade,Umbrellas and Walking Sticks,Vessel,64 - 67  Footwear / Headgear,Export,2641060,204.633,451138.907
2024,U.S-Mexico Trade,Articles of Leather and Handbags,Rail,"41 - 43  Raw Hides, Skins, Leather, & Furs",Import,8317536,552.948,1219042.662
2022,U.S-Mexico Trade,Works of Art and Antiques,Vessel,90 - 97  Miscellaneous,Import,914775,2.434,5366.0554
2023,U.S-Mexico Trade,Paper and Paperboard,Vessel,44 - 49  Wood & Wood Products,Export,13653605,10383.992,22892802.34
2020,U.S-Mexico Trade,Miscellaneous Articles of Base Metals,Vessel,72 - 83  Metals,Import,13442236,1933.654,4262980.825
2023,U.S-Mexico Trade,Lac; Gums; Resins and Saps,Truck,06 - 15  Vegetable Products,Import,95811571,18013.007,39711915.1
2017,U.S-Mexico Trade,Products of Animal Origin,Truck,01 - 05  Animal & Animal Products,Import,214279244,112620.814,248286596.8
2024,U.S-Mexico Trade,Vehicles Other than Railway,Vessel,86 - 89  Transportation,Export,725839524,33658.775,74204957.31
2016,U.S-Mexico Trade,Musical Instruments and Parts,Air,90 - 97  Miscellaneous,Export,5712257,76.725,169149.7982
2014,U.S-Mexico Trade,Tobacco and Manufactured Tobacco,Vessel,16 - 24  Foodstuffs,Export,30972034,4158.11,9167070.845
2022,U.S-Mexico Trade,Electrical Machinery; Equipment and Parts,Foreign Trade Zones,84 - 85  Machinery / Electrical,Import,1257440050,59711.455,131641331.8
2018,U.S-Mexico Trade,Feathers and Down,Other,64 - 67  Footwear / Headgear,Export,24959612,0,0
2022,U.S-Mexico Trade,Other Made up Textile Articles,Mail,50 - 63  Textiles,Export,71834,0,0
2017,U.S-Mexico Trade,Musical Instruments and Parts,Truck,90 - 97  Miscellaneous,Import,110379032,3237.945,7138452.607
2013,U.S-Mexico Trade,Stone; Plaster; Cement and Asbestos,Mail,68 - 71  Stone / Glass,Export,33765,0,0
2024,U.S-Mexico Trade,Preparations of Cereals and Flour,Vessel,16 - 24  Foodstuffs,Import,21860017,5442.211,11998031.27
2023,U.S-Mexico Trade,Aircraft; Spacecraft and Parts,Foreign Trade Zones,86 - 89  Transportation,Import,64322,0.16,352.7396
2021,U.S-Mexico Trade,Iron and Steel,Air,72 - 83  Metals,Import,931186,263.151,580149.1179
2021,U.S-Mexico Trade,Ships and Boats,Truck,86 - 89  Transportation,Import,843837191,47954.684,105722067.4
2018,U.S-Mexico Trade,Copper and Articles,Air,72 - 83  Metals,Import,3718071,185.505,408968.8491
2019,U.S-Mexico Trade,Carpets and Other Textile Floor Coverings,Truck,50 - 63  Textiles,Export,504296369,0,0
2016,U.S-Mexico Trade,Footwear,Truck,64 - 67  Footwear / Headgear,Import,448011873,22400.321,49384294.67
2023,U.S-Mexico Trade,Special Classification Provisions,Other,98 - 99  Service,Import,220963188,35817.881,78964975.12
2021,U.S-Mexico Trade,Miscellaneous Manufactured Articles,Air,90 - 97  Miscellaneous,Export,24041116,470.304,1036843.666
2017,U.S-Mexico Trade,Beverages; Spirits and Vinegar,Vessel,16 - 24  Foodstuffs,Export,159508655,188989.53,416650933
2023,U.S-Mexico Trade,Essential Oils and Resinoids,Truck,28 - 38  Chemicals & Allied Industries,Import,3195303539,441363.452,973040644.4
2023,U.S-Mexico Trade,Man-made Filaments,Air,50 - 63  Textiles,Export,2890812,153.294,337955.6885
2013,U.S-Mexico Trade,Animal or Vegetable Fats and Oils,Truck,06 - 15  Vegetable Products,Export,536012359,0,0
2023,U.S-Mexico Trade,Raw Hides and Skins,Rail,"41 - 43  Raw Hides, Skins, Leather, & Furs",Export,467747,0,0
2020,U.S-Mexico Trade,Live Trees and Plants,Rail,06 - 15  Vegetable Products,Export,46883,0,0
2024,U.S-Mexico Trade,Organic Chemicals,Truck,28 - 38  Chemicals & Allied Industries,Import,881653331,181906.518,401035551.8
2016,U.S-Mexico Trade,Copper and Articles,Vessel,72 - 83  Metals,Import,1252840,562.451,1239993.209
2016,U.S-Mexico Trade,Pharmaceutical Products,Other,28 - 38  Chemicals & Allied Industries,Import,352690,0.026,57.3196
2014,U.S-Mexico Trade,Knitted or Crocheted Fabrics,Vessel,50 - 63  Textiles,Import,3673,0.199,438.7202
2022,U.S-Mexico Trade,Special Woven Fabrics,Truck,50 - 63  Textiles,Import,64007578,5851.031,12899325.81
2015,U.S-Mexico Trade,Preparations of Vegetables; Fruits and Nuts,Truck,16 - 24  Foodstuffs,Import,1970796134,1424018.125,3139425133
2018,U.S-Mexico Trade,Essential Oils and Resinoids,Rail,28 - 38  Chemicals & Allied Industries,Import,17884981,9075.427,20007907.99
2023,U.S-Mexico Trade,Aircraft; Spacecraft and Parts,Vessel,86 - 89  Transportation,Import,48882605,308.423,679956.875
2017,U.S-Mexico Trade,Mineral Fuels; Oils and Waxes,Rail,25 - 27  Mineral Products,Import,5224975845,15209248.48,33530680607
2023,U.S-Mexico Trade,Feathers and Down,Truck,64 - 67  Footwear / Headgear,Export,40095919,0,0
2016,U.S-Mexico Trade,Headgear,Other,64 - 67  Footwear / Headgear,Import,853,0.046,101.4126
2013,U.S-Mexico Trade,Special Classification Provisions,Other,98 - 99  Service,Import,528838877,331982.154,731895963.8
2016,U.S-Mexico Trade,Live Trees and Plants,Vessel,06 - 15  Vegetable Products,Import,268159,272.635,601057.7777
2015,U.S-Mexico Trade,Impregnated Fabrics,Rail,50 - 63  Textiles,Export,3496671,0,0
2019,U.S-Mexico Trade,Headgear,Truck,64 - 67  Footwear / Headgear,Import,282492845,6464.093,14250897.26
2013,U.S-Mexico Trade,Knitted or Crocheted Apparel,Rail,50 - 63  Textiles,Import,2872475,334.194,736772.2528
2024,U.S-Mexico Trade,Tobacco and Manufactured Tobacco,Vessel,16 - 24  Foodstuffs,Export,33030611,6257.187,13794747.26
