Year,State,Commodity,Mode,Commodity Group,Trade Type,Trade Value,Shipwt Metric Ton,Shipwt Pound
2014,Texas-Mexico Trade,Sugars and Sugar Confectionery,Vessel,16 - 24  Foodstuffs,Import,21474068,57755.878,127330019
2022,Texas-Mexico Trade,Coffee; Tea and Spices,Air,06 - 15  Vegetable Products,Import,348687,49.499,109126.703
2021,Texas-Mexico Trade,Stone; Plaster; Cement and Asbestos,Truck,68 - 71  Stone / Glass,Export,277188888,0,0
2015,Texas-Mexico Trade,Tools of Base Metal,Rail,72 - 83  Metals,Export,725143,0,0
2021,Texas-Mexico Trade,Pulp of Wood and Paperboard,Vessel,44 - 49  Wood & Wood Products,Export,17500,44,97003.4744
2022,Texas-Mexico Trade,Special Classification Provisions,Truck,98 - 99  Service,Import,3489406720,331555.412,730955157.9
2018,Texas-Mexico Trade,Pulp of Wood and Paperboard,Other,44 - 49  Wood & Wood Products,Export,7587,0,0
2021,Texas-Mexico Trade,Ships and Boats,Truck,86 - 89  Transportation,Import,595023232,26690.799,58843187.27
2016,Texas-Mexico Trade,Copper and Articles,Rail,72 - 83  Metals,Import,2998723,630.463,1389934.126
2016,Texas-Mexico Trade,Cereals,Vessel,06 - 15  Vegetable Products,Export,227683987,1070289.688,2359586783
2013,Texas-Mexico Trade,Miscellaneous Chemical Products,Truck,28 - 38  Chemicals & Allied Industries,Import,330764730,165003.22,363770128.2
2015,Texas-Mexico Trade,Albuminoidal Substances; Glues and Enzymes,Truck,28 - 38  Chemicals & Allied Industries,Import,46468532,13837.34,30506137.67
2018,Texas-Mexico Trade,Explosives,Truck,28 - 38  Chemicals & Allied Industries,Import,94945200,7132.99,15725563.94
2017,Texas-Mexico Trade,Meat and Edible Offal,Rail,01 - 05  Animal & Animal Products,Export,376993,0,0
2023,Texas-Mexico Trade,Wood and Articles,Vessel,44 - 49  Wood & Wood Products,Export,138997,7.643,16849.9444
2014,Texas-Mexico Trade,Zinc and Articles,Vessel,72 - 83  Metals,Export,16477,2.733,6025.2385
2020,Texas-Mexico Trade,Toys; Games and Sport Equipment,Truck,90 - 97  Miscellaneous,Import,348619907,51009.292,112456330.8
2020,Texas-Mexico Trade,Wadding; Felt and Nonwovens,Other,50 - 63  Textiles,Export,1434359,0,0
2018,Texas-Mexico Trade,Fish and Crustaceans,Truck,01 - 05  Animal & Animal Products,Import,23759343,3953.399,8715759.975
2022,Texas-Mexico Trade,Miscellaneous Articles of Base Metals,Air,72 - 83  Metals,Import,1426148,142.618,314419.1235
2021,Texas-Mexico Trade,Salt; Sulfur; Plaster and Cement,Rail,25 - 27  Mineral Products,Export,128499297,0,0
2017,Texas-Mexico Trade,Copper and Articles,Truck,72 - 83  Metals,Import,371221118,63862.47,140792760.9
2016,Texas-Mexico Trade,Miscellaneous Chemical Products,Rail,28 - 38  Chemicals & Allied Industries,Export,347245448,0,0
2021,Texas-Mexico Trade,Printed Books,Vessel,44 - 49  Wood & Wood Products,Export,83985,1.611,3551.6498
