State,StateCode,Year,TradeType,Mode,TradeValue
California,CA,2022,Export,Vessel,919829240
Utah,UT,2023,Export,Rail,58327345
North Carolina,NC,2017,Export,Truck,3149591996
Mississippi,MS,2020,Import,Air,15258496
Colorado,CO,2019,Export,Truck,949102065
California,CA,2015,Export,Truck,21746332796
Michigan,MI,2019,Export,Rail,3118206143
Pennsylvania,PA,2018,Export,Truck,3791584838
Florida,FL,2017,Export,Truck,1526177022
Nebraska,NE,2020,Export,Rail,1278427829
California,CA,2024,Export,Rail,359556513
Michigan,MI,2023,Export,Truck,12146595391
Illinois,IL,2019,Import,Air,197064814
Iowa,IA,2016,Export,Other (including unknown),5167710
Kansas,KS,2021,Export,Truck,945030070
Illinois,IL,2022,Import,Vessel,1179127865
Pennsylvania,PA,2015,Export,Truck,3567238149
Florida,FL,2020,Export,Truck,1536893783
New Hampshire,NH,2018,Import,Truck,330953520
Nevada,NV,2021,Export,Truck,1115394764
California,CA,2016,Export,Other (including unknown),164514622
Alabama,AL,2016,Export,Truck,915707271
Pennsylvania,PA,2024,Import,Air,296694921
Vermont,VT,2024,Export,Truck,61046901
Oklahoma,OK,2017,Export,Other (including unknown),10042896
Oklahoma,OK,2019,Export,Truck,705544743
New York,NY,2024,Export,Truck,3123701543
Nevada,NV,2020,Import,Truck,798039022
Alabama,AL,2022,Import,Vessel,3257254345
Michigan,MI,2022,Export,Truck,9174162163
Michigan,MI,2015,Export,Truck,7890890419
Georgia,GA,2017,Import,Truck,5594595343
New Hampshire,NH,2023,Export,Truck,636465086
Pennsylvania,PA,2024,Export,Truck,4490954501
Mississippi,MS,2021,Export,Truck,784403349
Oklahoma,OK,2016,Export,Truck,448047583
Georgia,GA,2015,Export,Truck,2675528146
South Carolina,SC,2015,Export,Truck,1679628490
Pennsylvania,PA,2019,Export,Truck,3864053165
Arizona,AZ,2022,Export,Truck,5541866354
Illinois,IL,2022,Import,Air,238324630
Ohio,OH,2017,Export,Truck,4811818077
Utah,UT,2019,Export,Truck,669696937
Iowa,IA,2021,Export,Truck,736287856
Tennessee,TN,2018,Import,Air,341564964
Michigan,MI,2019,Export,Truck,7824892677
Oklahoma,OK,2024,Export,Truck,469946889
Iowa,IA,2015,Export,Truck,766047326
Colorado,CO,2018,Import,Truck,1466080333
Rhode Island,RI,2023,Export,Truck,208480046
Georgia,GA,2018,Export,Truck,2980196577
Delaware,DE,2020,Export,Truck,131979427
New Jersey,NJ,2017,Export,Truck,2268156561
Texas,TX,2023,Export,Truck,83387916804
North Carolina,NC,2019,Export,Truck,3347642813
Illinois,IL,2022,Export,Truck,8095907156
North Carolina,NC,2023,Export,Truck,4664743985
New Jersey,NJ,2019,Export,Rail,327173735
Arizona,AZ,2024,Import,Truck,10772324868
Wisconsin,WI,2019,Export,Air,76502548
New York,NY,2023,Import,Rail,88290820
North Carolina,NC,2019,Import,Truck,6798529094
Wisconsin,WI,2018,Export,Truck,3018821967
Rhode Island,RI,2022,Export,Truck,135353951
Nevada,NV,2020,Import,Air,17696822
Tennessee,TN,2022,Import,Rail,2688775949
Massachusetts,MA,2024,Import,Truck,4666029821
South Carolina,SC,2024,Export,Truck,2938953271
Oklahoma,OK,2022,Export,Truck,581312607
Delaware,DE,2016,Import,Air,2830771
Kentucky,KY,2021,Export,Truck,1728786615
Arizona,AZ,2020,Export,Truck,5092273721
North Dakota,ND,2021,Export,Truck,35500414
Virginia,VA,2016,Export,Truck,912955438
Arizona,AZ,2021,Export,Truck,5556777388
Vermont,VT,2020,Export,Truck,39857362
New York,NY,2019,Export,Vessel,51935598
South Carolina,SC,2015,Export,Air,106090570
New Mexico,NM,2018,Export,Truck,1367790219
Colorado,CO,2021,Export,Truck,1267620333
North Carolina,NC,2016,Export,Truck,2513131371
Delaware,DE,2022,Export,Truck,206583784
Oregon,OR,2018,Export,Truck,268794808
Texas,TX,2018,Export,Truck,75651761802
Wyoming,WY,2021,Export,Truck,21613807
Nevada,NV,2017,Export,Truck,315940592
New Jersey,NJ,2021,Export,Vessel,116439502
Oregon,OR,2019,Export,Rail,150777449
Mississippi,MS,2018,Export,Truck,593249050
Rhode Island,RI,2021,Export,Truck,132859888
Georgia,GA,2019,Import,Truck,5832782268
New York,NY,2022,Import,Truck,2533793406
Illinois,IL,2021,Import,Vessel,1019336736
California,CA,2024,Export,Pipeline,301567846
Nebraska,NE,2018,Export,Truck,417189900
Florida,FL,2015,Export,Truck,1434629019
Oklahoma,OK,2017,Export,Truck,438053995
Tennessee,TN,2015,Export,Truck,3710561928
Ohio,OH,2021,Export,Truck,4729982748
New York,NY,2018,Export,Air,639015660
Texas,TX,2023,Import,Truck,1.19311E+11
Michigan,MI,2018,Export,Truck,8385217255
Wisconsin,WI,2019,Export,Truck,2840097229
Indiana,IN,2021,Import,Rail,219063917
Maryland,MD,2020,Export,Truck,201467404
Indiana,IN,2019,Export,Truck,3969874550
Georgia,GA,2020,Import,Truck,7319945932
Colorado,CO,2024,Export,Truck,1428374361
New Jersey,NJ,2024,Import,Truck,4361348728
North Carolina,NC,2024,Export,Truck,4273465540
Virginia,VA,2024,Export,Truck,1093845388
Washington,WA,2021,Export,Rail,89339720
Missouri,MO,2018,Export,Truck,1766250771
Illinois,IL,2015,Export,Truck,6574041618
Tennessee,TN,2020,Export,Truck,2647148700
Arkansas,AR,2020,Export,Truck,494362628
Illinois,IL,2018,Export,Truck,7412279632
New Mexico,NM,2019,Export,Truck,2246491628
Ohio,OH,2024,Export,Truck,7786705734
Illinois,IL,2016,Export,Truck,6957793343
Mississippi,MS,2017,Export,Truck,531592252
Illinois,IL,2024,Export,Other (including unknown),51140565
New Mexico,NM,2015,Export,Truck,1644276859
Maryland,MD,2024,Export,Truck,323915815
Indiana,IN,2015,Export,Truck,3037405081
Kentucky,KY,2024,Export,Truck,2451265339
South Dakota,SD,2020,Export,Air,4719865
Pennsylvania,PA,2023,Import,Truck,5337802370
Louisiana,LA,2021,Export,Truck,480305350
Massachusetts,MA,2021,Export,Truck,2527563112
Montana,MT,2023,Import,Air,6970906
State Unknown,DU,2015,Import,Air,12942903
Florida,FL,2022,Export,Truck,2372950309
Nebraska,NE,2022,Export,Truck,465098569
Nebraska,NE,2020,Export,Truck,338157788
North Dakota,ND,2015,Export,Truck,47695393
Illinois,IL,2023,Export,Rail,2665514002
California,CA,2019,Export,Other (including unknown),158954408
Oklahoma,OK,2015,Export,Truck,486422901
Washington,WA,2022,Export,Rail,102292258
Ohio,OH,2019,Import,Truck,7693885450
New Hampshire,NH,2021,Export,Air,28873080
Virginia,VA,2017,Import,Truck,901126710
Nebraska,NE,2023,Export,Truck,572925444
Wisconsin,WI,2023,Export,Truck,3732692280
Kansas,KS,2024,Import,Air,42919324
Iowa,IA,2016,Export,Truck,707089293
Minnesota,MN,2023,Export,Rail,800207404
California,CA,2018,Export,Vessel,1343840261
Indiana,IN,2018,Export,Truck,3313906444
Nebraska,NE,2015,Export,Truck,457641869
Illinois,IL,2024,Export,Truck,10121121073
Nebraska,NE,2020,Import,Truck,328931847
