State,StateCode,Year,TradeType,Mode,TradeValue
Maryland,MD,2015,Export,Vessel,9582777
Florida,FL,2018,Import,Air,962920348
Tennessee,TN,2023,Export,Air,406249180
Missouri,MO,2023,Export,Other (including unknown),17247964
Florida,FL,2017,Export,Rail,160553038
Montana,MT,2024,Export,Truck,31793777
Massachusetts,MA,2018,Export,Truck,2178825282
Minnesota,MN,2018,Export,Rail,358916766
Nevada,NV,2019,Export,Vessel,23699218
Texas,TX,2024,Import,Truck,1.35957E+11
West Virginia,WV,2017,Export,Truck,89210864
State Unknown,DU,2019,Export,Truck,22089586
New Hampshire,NH,2018,Export,Air,32073396
Nebraska,NE,2021,Export,Rail,1371258244
